address,latitude,longitude
"Rua 1º de Maio
2560-046 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.096549,-9.320873
,,
"Travessa 1º de Maio
2565-432 MAXIAL
Maxial, Torres Vedras, Lisboa",GPS: 39.079616,-9.334721
"Largo 1º de Maio
2565-732 RUNA
Runa, Torres Vedras, Lisboa",GPS: 39.065247,-9.208303
"Travessa 1º de Maio
2560-241 TORRES VEDRAS
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.086418,-9.274975
"Travessa 1º de Junho
2560-027 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.152506,-9.300760
"Rua 1º de Maio
2565-026 CAMPELOS
Campelos, Torres Vedras, Lisboa",GPS: 39.197127,-9.229645
"Largo 1º de Maio
2565-208 DOIS PORTOS
Dois Portos, Torres Vedras, Lisboa",GPS: 39.064949,-9.208977
,,
"Rua 1º de Maio
2565-212 DOIS PORTOS
Dois Portos, Torres Vedras, Lisboa",GPS: 39.036621,-9.180790
"Rua 1º de Maio
2565-374 MATACÃES
Matacães, Torres Vedras, Lisboa",GPS: 39.093062,-9.211144
"Rua 1º de Dezembro
2565-457 MAXIAL
Maxial, Torres Vedras, Lisboa",GPS: 39.138916,-9.177738
"Rua 1º de Maio
2565-458 MAXIAL
Maxial, Torres Vedras, Lisboa",GPS: 39.139396,-9.177916
"Largo 1º de Maio
2565-647 RAMALHAL
Ramalhal, Torres Vedras, Lisboa",GPS: 39.064949,-9.208977
"Rua 1º de Maio
2560-587 TORRES VEDRAS
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.072755,"-9.252221
Catefica"
"Rua 1º de Maio
2560-592 TORRES VEDRAS
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.072755,"-9.252221
Sarge"
"Rua 1º de Maio
2560-657 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.072755,-9.252221
,,
"Travessa 1º de Maio
2560-237 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.072755,"-9.252221
Varatojo"
,,
"Rua 1º de Dezembro
2560-232 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.092440,"-9.258078
Paúl"
"Rua 1º de Maio
2560-232 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.072755,"-9.252221
Paúl"
"Rua 1º de Maio
2560-237 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.072755,"-9.252221
Varatojo"
